Id;param_id;time;channel;amplitude;duration;energy;rms;status;threshold;rise_time;counts;trai;spectral_centroid_khz;peak_frequency_khz;clearance_factor;crest_factor;impulse_factor;kurtosis;partial_power_100_400khz;shape_factor;skewness;spectral_entropy;spectral_flatness;spectral_kurtosis;spectral_peak_frequency_hz;spectral_rolloff_hz
1624;3;7599.422196799999;2;86.0;1035.1;2312121.826171875;4725.8;32768;69.9;67.4;26;103;28.1;24.4;7.02;4.34;5.76;4.59;0.0025;1.33;-0.05;0.4477;0.0009;534.57;24414.1;70312.5
1625;2;7599.4233519;1;70.7;4.1;73069.091796875;13349.9;32768;69.9;2.1;1;104;483.0;0.4;82.77;18.43;36.77;66.01;0.2751;2.0;0.94;0.9517;0.5364;1.66;366.2;961731.0
1626;3;7604.0241809;2;82.9;818.9;1209919.189453125;3844.1;32768;69.9;60.3;21;105;29.2;24.4;6.64;4.19;5.5;4.38;0.002;1.31;-0.02;0.4879;0.0015;483.69;24414.1;70312.5
1629;2;7605.8846482;1;77.7;1827.5;1714561.767578125;3062.8;32768;69.9;563.3;16;106;448.3;12.1;84.96;10.46;30.41;36.21;0.2599;2.91;0.24;0.93;0.5071;1.65;12085.0;957214.4
1630;3;7606.8269952;2;70.7;401.0;199402.83203125;2230.3;32768;69.9;2.2;1;107;19.9;21.5;3.79;2.61;3.19;2.52;0.0017;1.22;-0.15;0.3745;0.0047;277.61;21484.4;22460.9
1631;3;7608.6221072;2;70.3;2.3;110888.916015625;21957.6;32768;69.9;0.1;1;108;22.7;13.7;6.41;3.49;4.85;4.49;0.0064;1.39;-0.11;0.3374;0.0134;100.0;13671.9;20507.8
1632;2;7610.4876334;1;71.5;485.5;297518.798828125;2475.0;32768;69.9;481.9;2;109;479.1;70.0;60.0;11.0;25.37;31.92;0.2791;2.31;0.28;0.9521;0.5377;1.67;70007.3;958038.3
1633;3;7613.2241518;2;76.3;597.6;370862.060546875;2491.4;32768;69.9;515.6;7;110;19.8;13.7;5.58;3.65;4.68;3.65;0.0021;1.28;0.41;0.4198;0.0028;513.03;13671.9;53710.9
1634;2;7614.228070499999;1;72.2;740.6;236681.15234375;1787.9;32768;69.9;40.2;2;111;485.0;2.3;80.15;13.84;33.67;57.15;0.2807;2.43;-0.81;0.954;0.5459;1.68;2258.3;960083.0
1635;2;7615.0839274;1;74.8;1594.5;855351.318359375;2316.3;32768;69.9;530.5;11;112;461.4;0.6;74.05;10.46;28.29;32.1;0.2708;2.7;0.34;0.9436;0.5211;1.66;579.8;958984.4
1638;3;7616.0115132;2;71.1;174.3;101154.78515625;2409.5;32768;69.9;172.2;0;113;24.6;11.7;6.83;3.7;5.19;4.88;0.0063;1.4;-0.8;0.3192;0.0146;78.13;11718.8;25390.6
1639;2;7619.6837796;1;74.8;1596.0;881983.642578125;2351.1;32768;69.9;222.9;12;114;452.3;1.3;72.93;10.31;28.25;32.86;0.264;2.74;0.33;0.9372;0.5111;1.64;1251.2;956695.6
1640;3;7622.4299789;2;82.6;820.9;1130720.703125;3711.0;32768;69.9;83.4;20;115;27.7;24.4;6.68;4.16;5.47;4.19;0.0031;1.31;-0.03;0.4574;0.0012;530.37;24414.1;69335.9
1641;2;7622.4309961;1;71.1;10.1;99351.318359375;9918.5;32768;69.9;2.0;0;116;474.0;0.4;85.4;17.47;37.3;79.01;0.2739;2.13;-1.25;0.9514;0.5369;1.68;366.2;959228.5
1642;2;7624.2856126;1;76.7;1790.0;1303389.404296875;2698.2;32768;69.9;224.9;14;117;460.1;0.5;88.75;10.76;32.21;36.05;0.2652;2.99;0.31;0.9422;0.5201;1.64;549.3;957824.7
1643;3;7625.2349785;2;74.0;571.8;328823.73046875;2398.2;32768;69.9;537.3;2;118;16.8;13.7;4.83;3.07;3.94;3.13;0.0013;1.29;-0.24;0.3433;0.0034;508.69;13671.9;24414.1
1646;3;7627.0290878;2;83.4;1012.0;1304237.79296875;3590.1;32768;69.9;96.6;15;119;25.0;11.7;7.22;4.65;6.01;4.09;0.002;1.29;0.36;0.4805;0.0017;419.94;11718.8;68359.4
